ID,NddsN,nP,TpiPC10,SLogP,BCUTs-1h,NdS,ATS5s,nG12FRing,ZMIC1,Experimental
457,0,1,7.1617,3.8896,7.0083,1,300.5509,0,41.8785,2.78
458,0,0,7.6385,2.0576,7.0142,0,265.5193,0,35.609,2.53
460,2,0,7.2866,3.0954,8.003,0,390.3909,0,43.3003,3.94
461,0,0,6.1633,1.4886,7.0099,0,277.8889,0,76.9905,2.3
462,0,1,5.2781,1.4807,7.0088,0,117.2083,0,29.7094,2.3
463,0,0,7.8156,1.1219,7.0094,0,711.9722,1,46.1703,1.01
465,0,0,7.1383,6.433,7.0094,0,455.4167,0,59.4484,3.21
467,0,0,7.7118,0.9935,7.0115,0,806.6944,0,53.2074,1.39
468,2,0,7.5411,2.9502,8.0086,0,570.6667,0,43.7748,3.63
469,2,0,7.6502,3.7304,8.0086,0,593.3333,0,44.893,4.11
470,1,0,6.0967,3.0107,8.0019,0,64.3056,0,35.2925,2.6
471,0,0,8.2367,0.8388,7.0083,0,384.0139,1,32.193,2.58
472,0,1,4.3175,1.24,7.0088,0,97.4444,0,23.466,0.3
474,0,1,7.1401,3.2538,7.0077,0,350.3004,0,34.544,1.57
476,0,0,7.9559,5.9672,2.2196,0,75.2306,0,66.3847,4.86
478,0,0,7.871,4.8719,3.0482,0,197.3333,0,49.4932,3
479,0,0,6.4471,1.8282,7.0083,0,176.5,0,30.2771,1.54
480,2,0,7.5541,3.977,8.0086,0,485.3621,0,43.6274,3.55
482,0,0,8.1311,7.274,2.1655,0,79.087,0,86.8429,6.08
483,0,0,6.2908,1.6112,7.0083,0,147.8611,0,30.1715,1.83
484,0,0,6.8664,3.1232,7.0083,0,271.4702,0,31.5887,2.32
486,0,0,8.1816,7.274,2.1613,0,75.6795,0,86.8429,5.58
487,0,0,8.1823,7.274,2.2031,0,75.56,0,86.8429,5.93
488,0,1,6.7412,5.1915,3.5127,1,149.6152,0,36.5581,4.08
489,0,0,7.4426,4.1338,3.5097,0,178.2078,0,35.217,3.73
490,0,0,7.9181,5.9672,2.2178,0,76.9717,0,66.3847,5.12
491,0,0,8.3863,8.5808,2.1387,0,75.0087,0,105.8261,6.41
492,0,0,7.5526,3.3714,7.0083,0,426.5,1,41.6203,2.87
495,0,0,7.8076,5.3138,2.2626,0,76.9796,0,56.5774,4.84
496,0,0,8.0513,6.6206,2.2117,0,76.3256,0,76.6434,5.22
497,0,0,8.1741,3.0893,8.0074,0,402.1281,0,59.2077,3.08
498,0,0,8.0177,6.6206,2.2134,0,77.9471,0,76.6434,5.55
500,0,0,8.1158,7.274,2.206,0,79.0421,0,86.8429,6.01
502,0,0,6.761,1.8368,7.0083,0,202.8333,0,29.1041,1.83
503,2,0,7.706,4.8875,8.003,0,444.1944,0,46.6601,2.74
504,2,0,7.3075,3.7203,8.003,0,435.0556,0,37.5045,3.7
505,0,1,6.76,5.7691,7.0066,0,203.0877,0,37.7732,3.03
506,0,0,7.908,0.3275,7.0083,0,161.6667,0,31.6781,2.17
507,0,0,8.052,6.6206,2.24,0,76.2061,0,76.6434,5.69
511,0,0,7.4406,3.1243,7.0083,0,256.7654,0,35.3353,2.71
514,0,0,7.9437,4.726,7.0083,0,196.6327,0,51.2106,4.2
515,0,0,6.9075,2.1821,7.0083,0,140.3241,0,34.4891,2.04
516,0,0,8.1133,6.178,7.0083,0,396.9563,0,55.7127,5
518,0,0,6.7192,4.1206,7.0083,0,223.1409,0,42.4416,3
519,0,0,7.2768,2.5233,8.0074,0,332.2577,0,40.1226,2.3
523,0,0,6.5145,2.5052,7.0083,0,93.2512,0,41.4979,1.67
525,0,1,6.7218,4.1979,3.519,1,114.7553,0,39.2693,3.7
